RA;Ano_avaliacao;Nome_aluno;Idade;Fase;Turma;Instituicao_ensino;INDE;Pedra_atual;Pedra 20;Pedra 21;IDA;IEG;IAA;IPS;IPV;IAN;Nota_mat;Nota_port;Nota_ing;Atingiu PV;Defasagem;Fase ideal;IPP;Atingiu_PV_calculado;Delta_INDE;Delta_IDA;Delta_IEG;Delta_IAA;Delta_IPS;Delta_IPP;Delta_IPV;Delta_IAN;Evolucao_INDE;Evolucao_IDA;Evolucao_IEG;Evolucao_IAA;Evolucao_IPS;Evolucao_IPP;Evolucao_IPV;Evolucao_IAN;Persona_aluno
RA-1;2022;Aluno-1;19;Fase 7;A;Escola Pública;5.783;Quartzo;Ametista;Ametista;4.0;4.1;8.3;5.6;7.278;5.0;2.7;3.5;6.0;Não;-1;Fase 8 (Universitários);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-1;2023;Aluno-1;20;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Ametista;Ametista;;;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;5.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Avanço;Dados incompletos para perfil
RA-1;2024;Aluno-1;21;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Ametista;Ametista;;0.0;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;0.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Neutra;Dados incompletos para perfil
RA-10;2022;Aluno-10;18;Fase 7;A;Escola Pública;5.784;Quartzo;Pré-ingresso;Ágata;4.1;5.2;8.3;5.0;7.056;5.0;3.3;2.6;6.4;Não;-1;Fase 8 (Universitários);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alerta acadêmico (desfocados)
RA-100;2022;Aluno-100;13;Fase 4;A;Rede Decisão;7.618;Ametista;Ametista;Topázio;7.6;7.8;8.8;5.0;7.25;10.0;7.0;7.8;8.1;Não;1;Fase 3 (7º e 8º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1000;2023;Aluno-1000;8;Alfa;ALFA U - G2/G3;Escola Pública;7.9162;Ametista;Pré-ingresso;Pré-ingresso;7.0;9.4;8.5;3.77;8.92;10.0;7.0;7.0;;Não avaliado;0;ALFA (1° e 2° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-1000;2024;Aluno-1000;9;Fase 1;1N;Escola Pública;8.364790909100002;Topázio;Pré-ingresso;Pré-ingresso;7.75;9.5454545455;9.002;6.26;7.835;10.0;7.5;8.0;;Não avaliado;0;Fase 1 (3° e 4° ano);8.125;Não;0.44859090910000177;0.75;0.1454545454999998;0.5020000000000007;2.4899999999999998;1.875;-1.085;0.0;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-1001;2023;Aluno-1001;9;Alfa;ALFA U - G2/G3;Escola Pública;8.1162;Topázio;Pré-ingresso;Pré-ingresso;7.8;9.1;9.0;7.52;9.17;5.0;8.3;7.3;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-1001;2024;Aluno-1001;10;Fase 1;1N;Escola Pública;7.7964318841;Ametista;Pré-ingresso;Pré-ingresso;7.75;9.347826087;7.502;7.51;7.92;5.0;6.5;9.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.916666667;Não;-0.31976811589999876;-0.04999999999999982;0.24782608699999997;-1.4980000000000002;-0.009999999999999787;0.4166666670000003;-1.25;0.0;Recuo;Recuo;Avanço;Recuo;Recuo;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-1002;2023;Aluno-1002;9;Alfa;ALFA U - G2/G3;Escola Pública;7.9012;Ametista;Pré-ingresso;Pré-ingresso;7.0;9.7;9.0;7.52;8.92;5.0;7.0;7.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
